,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio
4,15m,0.5,12,Close,733.68,175.33,489.42,-47.66,4,12397.67,59.18%,27.91%,4.18
3,15m,0.5,9,Close,476.56,175.21,283.61,-47.66,3,9373.13,50.84%,29.55%,2.72
9,15m,1.0,12,Close,471.93,175.2,489.42,-47.66,4,12397.67,38.07%,16.67%,2.69
10,15m,2.0,3,Close,404.81,175.17,145.96,-106.42,2,9469.16,42.75%,51.22%,2.31
2,15m,0.5,7,Close,392.66,175.16,185.42,-47.66,3,9373.13,41.89%,32.61%,2.24
14,15m,2.0,12,Close,342.38,175.14,757.13,-158.07,5,15351.73,22.30%,19.35%,1.95
1,15m,0.5,5,Close,289.44,175.11,118.41,-47.66,2,6236.77,46.41%,34.04%,1.65
15,15m,3.0,3,Close,240.18,175.09,145.96,-145.55,2,9469.16,25.36%,58.54%,1.37
0,15m,0.5,3,Close,237.17,175.09,71.05,-47.66,2,6236.77,38.03%,38.30%,1.35
8,15m,1.0,9,Close,214.81,175.07,283.61,-47.66,3,9190.25,23.37%,18.60%,1.23
20,15m,4.0,3,Close,211.81,175.07,145.96,-346.7,3,12152.37,17.43%,67.57%,1.21
5,15m,1.0,3,Close,169.75,175.05,109.44,-47.66,2,6236.77,27.22%,34.04%,0.97
7,15m,1.0,7,Close,142.53,175.04,185.42,-47.66,3,9373.13,15.21%,22.22%,0.81
6,15m,1.0,5,Close,71.27,175.0,118.41,-47.66,2,6128.13,11.63%,26.09%,0.41
19,15m,3.0,12,Close,2.57,174.97,757.13,-158.07,5,15351.73,0.17%,21.43%,0.01
13,15m,2.0,9,Close,-19.56,174.96,330.45,-158.07,3,14180.55,-1.38%,21.88%,-0.11
11,15m,2.0,5,Close,-37.64,174.95,211.84,-158.07,3,14180.55,-2.65%,35.14%,-0.22
25,1h,0.5,3,Close,-51.49,33.29,101.94,-32.9,1,3386.28,-15.21%,20.00%,-1.55
35,1h,2.0,3,Close,-90.96,33.27,103.98,-131.12,2,6766.28,-13.44%,37.50%,-2.73
30,1h,1.0,3,Close,-93.53,33.27,101.94,-32.9,1,3386.28,-27.62%,20.00%,-2.81
47,1h,4.0,7,Close,-154.14,33.24,495.85,-337.7,3,10056.01,-15.33%,25.00%,-4.64
29,1h,0.5,12,Close,-162.37,33.23,11.24,-41.9,2,6936.42,-23.41%,11.11%,-4.89
26,1h,0.5,5,Close,-162.37,33.23,11.24,-41.9,2,6936.42,-23.41%,11.11%,-4.89
27,1h,0.5,7,Close,-162.37,33.23,11.24,-41.9,2,6936.42,-23.41%,11.11%,-4.89
28,1h,0.5,9,Close,-162.37,33.23,11.24,-41.9,2,6936.42,-23.41%,11.11%,-4.89
12,15m,2.0,7,Close,-178.7,174.88,185.42,-158.07,3,14180.55,-12.60%,28.57%,-1.02
45,1h,4.0,3,Close,-190.37,33.22,105.75,-337.7,3,10056.01,-18.93%,60.00%,-5.73
33,1h,1.0,9,Close,-204.41,33.21,11.24,-41.9,2,6936.42,-29.47%,11.11%,-6.15
32,1h,1.0,7,Close,-204.41,33.21,11.24,-41.9,2,6936.42,-29.47%,11.11%,-6.15
31,1h,1.0,5,Close,-204.41,33.21,11.24,-41.9,2,6936.42,-29.47%,11.11%,-6.15
34,1h,1.0,12,Close,-204.41,33.21,11.24,-41.9,2,6936.42,-29.47%,11.11%,-6.15
37,1h,2.0,7,Close,-240.53,33.19,227.56,-180.38,3,10401.38,-23.12%,14.29%,-7.25
21,15m,4.0,5,Close,-254.87,174.84,232.11,-513.78,4,12114.38,-21.04%,51.61%,-1.46
40,1h,3.0,3,Close,-263.4,33.18,103.98,-337.7,3,9821.06,-26.82%,50.00%,-7.94
16,15m,3.0,5,Close,-287.24,174.82,211.84,-158.07,3,14180.55,-20.26%,40.54%,-1.64
36,1h,2.0,5,Close,-305.51,33.16,162.54,-180.38,3,10401.38,-29.37%,14.29%,-9.21
24,15m,4.0,12,Close,-327.44,174.8,757.13,-675.75,6,20906.05,-15.66%,27.27%,-1.87
46,1h,4.0,5,Close,-349.1,33.14,300.8,-337.7,3,10056.01,-34.72%,25.00%,-10.53
38,1h,2.0,9,Close,-350.76,33.14,0.0,-68.7,4,13691.11,-25.62%,0.00%,-10.58
39,1h,2.0,12,Close,-350.76,33.14,0.0,-68.7,4,13691.11,-25.62%,0.00%,-10.58
18,15m,3.0,9,Close,-359.37,174.79,330.45,-158.07,3,14180.55,-25.34%,24.14%,-2.06
17,15m,3.0,7,Close,-398.27,174.77,185.42,-158.07,3,14180.55,-28.09%,35.29%,-2.28
42,1h,3.0,7,Close,-412.97,33.11,227.56,-337.7,3,10401.38,-39.70%,20.00%,-12.47
41,1h,3.0,5,Close,-477.95,33.08,162.54,-337.7,3,10401.38,-45.95%,20.00%,-14.45
48,1h,4.0,9,Close,-484.84,33.07,0.0,-337.7,6,20457.39,-23.70%,0.00%,-14.66
49,1h,4.0,12,Close,-484.84,33.07,0.0,-337.7,6,20457.39,-23.70%,0.00%,-14.66
43,1h,3.0,9,Close,-523.2,33.05,0.0,-337.7,4,13691.11,-38.21%,0.00%,-15.83
44,1h,3.0,12,Close,-523.2,33.05,0.0,-337.7,4,13691.11,-38.21%,0.00%,-15.83
22,15m,4.0,7,Close,-760.3,174.59,230.41,-513.78,4,12114.38,-62.76%,42.86%,-4.35
23,15m,4.0,9,Close,-846.93,174.54,330.45,-675.75,6,20906.05,-40.51%,30.43%,-4.85
